pos[0] = 22.824442	pos[1] = 106.974133	pos[2] = 25.525805
pos[0] = 48.866142	pos[1] = 129.315443	pos[2] = 39.510167
angle[0] = -0.275503	angle[1] = 0.809116	angle[2] = 0.716768

pos[0] = 48.878128	pos[1] = 129.497673	pos[2] = 39.552557
angle[0] = -0.275503	angle[1] = 0.809932	angle[2] = 0.717991

pos[0] = 48.900791	pos[1] = 129.642500	pos[2] = 39.632729
angle[0] = -0.275503	angle[1] = 0.810340	angle[2] = 0.719213

pos[0] = 48.994946	pos[1] = 129.860798	pos[2] = 39.693927
angle[0] = -0.275914	angle[1] = 0.811156	angle[2] = 0.720843

pos[0] = 49.006783	pos[1] = 130.043364	pos[2] = 39.735741
angle[0] = -0.275914	angle[1] = 0.811972	angle[2] = 0.722065

pos[0] = 49.029335	pos[1] = 130.188610	pos[2] = 39.815388
angle[0] = -0.275914	angle[1] = 0.812380	angle[2] = 0.723288

pos[0] = 49.123390	pos[1] = 130.407417	pos[2] = 39.875837
angle[0] = -0.276325	angle[1] = 0.813196	angle[2] = 0.724918

pos[0] = 49.135086	pos[1] = 130.590332	pos[2] = 39.917073
angle[0] = -0.276325	angle[1] = 0.814012	angle[2] = 0.726140

pos[0] = 49.168602	pos[1] = 130.772133	pos[2] = 40.035262
angle[0] = -0.276325	angle[1] = 0.814420	angle[2] = 0.727770

pos[0] = 49.251495	pos[1] = 130.955294	pos[2] = 40.055878
angle[0] = -0.276737	angle[1] = 0.815236	angle[2] = 0.728993

pos[0] = 49.274109	pos[1] = 131.174801	pos[2] = 40.135492
angle[0] = -0.276737	angle[1] = 0.816052	angle[2] = 0.730623

pos[0] = 49.307468	pos[1] = 131.357244	pos[2] = 40.252947
angle[0] = -0.276737	angle[1] = 0.816460	angle[2] = 0.732253

pos[0] = 49.401340	pos[1] = 131.577183	pos[2] = 40.311721
angle[0] = -0.277148	angle[1] = 0.817276	angle[2] = 0.733883

pos[0] = 49.412720	pos[1] = 131.760859	pos[2] = 40.351729
angle[0] = -0.277148	angle[1] = 0.818092	angle[2] = 0.735105

pos[0] = 49.435059	pos[1] = 131.981113	pos[2] = 40.430263
angle[0] = -0.277148	angle[1] = 0.818909	angle[2] = 0.736735

pos[0] = 49.468201	pos[1] = 132.164440	pos[2] = 40.546765
angle[0] = -0.277148	angle[1] = 0.819317	angle[2] = 0.738365

pos[0] = 49.490387	pos[1] = 132.385124	pos[2] = 40.624756
angle[0] = -0.277148	angle[1] = 0.820133	angle[2] = 0.739995

pos[0] = 49.584057	pos[1] = 132.606007	pos[2] = 40.682079
angle[0] = -0.277559	angle[1] = 0.820949	angle[2] = 0.741625

pos[0] = 49.606113	pos[1] = 132.827089	pos[2] = 40.759488
angle[0] = -0.277559	angle[1] = 0.821765	angle[2] = 0.743255

pos[0] = 49.628082	pos[1] = 133.048368	pos[2] = 40.836590
angle[0] = -0.277559	angle[1] = 0.822581	angle[2] = 0.744885

pos[0] = 49.732578	pos[1] = 133.232849	pos[2] = 40.931365
angle[0] = -0.277970	angle[1] = 0.822989	angle[2] = 0.746515

pos[0] = 49.754421	pos[1] = 133.454550	pos[2] = 41.007915
angle[0] = -0.277970	angle[1] = 0.823805	angle[2] = 0.748145

pos[0] = 49.776184	pos[1] = 133.676441	pos[2] = 41.084186
angle[0] = -0.277970	angle[1] = 0.824621	angle[2] = 0.749775

pos[0] = 49.808762	pos[1] = 133.935635	pos[2] = 41.198342
angle[0] = -0.277970	angle[1] = 0.825437	angle[2] = 0.751812

pos[0] = 49.830345	pos[1] = 134.157988	pos[2] = 41.273982
angle[0] = -0.277970	angle[1] = 0.826253	angle[2] = 0.753442

pos[0] = 49.923672	pos[1] = 134.380524	pos[2] = 41.328800
angle[0] = -0.278381	angle[1] = 0.827069	angle[2] = 0.755072

pos[0] = 49.956131	pos[1] = 134.566435	pos[2] = 41.442371
angle[0] = -0.278381	angle[1] = 0.827477	angle[2] = 0.756702

pos[0] = 49.977497	pos[1] = 134.789392	pos[2] = 41.517137
angle[0] = -0.278381	angle[1] = 0.828293	angle[2] = 0.758332

pos[0] = 50.081558	pos[1] = 135.049992	pos[2] = 41.608910
angle[0] = -0.278793	angle[1] = 0.829109	angle[2] = 0.760369

pos[0] = 50.102776	pos[1] = 135.273386	pos[2] = 41.683036
angle[0] = -0.278793	angle[1] = 0.829925	angle[2] = 0.761999

pos[0] = 50.123909	pos[1] = 135.496988	pos[2] = 41.756868
angle[0] = -0.278793	angle[1] = 0.830741	angle[2] = 0.763629

pos[0] = 50.144955	pos[1] = 135.720772	pos[2] = 41.830392
angle[0] = -0.278793	angle[1] = 0.831557	angle[2] = 0.765259

pos[0] = 50.237984	pos[1] = 135.944754	pos[2] = 41.883010
angle[0] = -0.279204	angle[1] = 0.832373	angle[2] = 0.766889

pos[0] = 50.269661	pos[1] = 136.206690	pos[2] = 41.993503
angle[0] = -0.279204	angle[1] = 0.833189	angle[2] = 0.768926

pos[0] = 50.301575	pos[1] = 136.394547	pos[2] = 42.104818
angle[0] = -0.279204	angle[1] = 0.833597	angle[2] = 0.770556

pos[0] = 50.394485	pos[1] = 136.619188	pos[2] = 42.156437
angle[0] = -0.279615	angle[1] = 0.834414	angle[2] = 0.772186

pos[0] = 50.415161	pos[1] = 136.844015	pos[2] = 42.228448
angle[0] = -0.279615	angle[1] = 0.835230	angle[2] = 0.773816

pos[0] = 50.446465	pos[1] = 137.107063	pos[2] = 42.337462
angle[0] = -0.279615	angle[1] = 0.836046	angle[2] = 0.775854

pos[0] = 50.539227	pos[1] = 137.332325	pos[2] = 42.388060
angle[0] = -0.280026	angle[1] = 0.836862	angle[2] = 0.777484

pos[0] = 50.559662	pos[1] = 137.557777	pos[2] = 42.459124
angle[0] = -0.280026	angle[1] = 0.837678	angle[2] = 0.779114

pos[0] = 50.590679	pos[1] = 137.821684	pos[2] = 42.566981
angle[0] = -0.280026	angle[1] = 0.838494	angle[2] = 0.781151

pos[0] = 50.683289	pos[1] = 138.047567	pos[2] = 42.616574
angle[0] = -0.280437	angle[1] = 0.839310	angle[2] = 0.782781

pos[0] = 50.703480	pos[1] = 138.273632	pos[2] = 42.686677
angle[0] = -0.280437	angle[1] = 0.840126	angle[2] = 0.784411

pos[0] = 50.734215	pos[1] = 138.538349	pos[2] = 42.793377
angle[0] = -0.280437	angle[1] = 0.840942	angle[2] = 0.786448

pos[0] = 50.826675	pos[1] = 138.764858	pos[2] = 42.841949
angle[0] = -0.280849	angle[1] = 0.841758	angle[2] = 0.788078

pos[0] = 50.868477	pos[1] = 138.993912	pos[2] = 42.986857
angle[0] = -0.280849	angle[1] = 0.842166	angle[2] = 0.790116

pos[0] = 50.960857	pos[1] = 139.220877	pos[2] = 43.034721
angle[0] = -0.281260	angle[1] = 0.842982	angle[2] = 0.791746

pos[0] = 50.991230	pos[1] = 139.486761	pos[2] = 43.139843
angle[0] = -0.281260	angle[1] = 0.843798	angle[2] = 0.793783

pos[0] = 51.010918	pos[1] = 139.714146	pos[2] = 43.207994
angle[0] = -0.281260	angle[1] = 0.844614	angle[2] = 0.795413

pos[0] = 51.113701	pos[1] = 139.980589	pos[2] = 43.291306
angle[0] = -0.281671	angle[1] = 0.845430	angle[2] = 0.797450

pos[0] = 51.143757	pos[1] = 140.247364	pos[2] = 43.395183
angle[0] = -0.281671	angle[1] = 0.846246	angle[2] = 0.799488

pos[0] = 51.235878	pos[1] = 140.475424	pos[2] = 43.441247
angle[0] = -0.282082	angle[1] = 0.847062	angle[2] = 0.801118

pos[0] = 51.254383	pos[1] = 140.778738	pos[2] = 43.505102
angle[0] = -0.282082	angle[1] = 0.848286	angle[2] = 0.803155

pos[0] = 51.284119	pos[1] = 141.046358	pos[2] = 43.607707
angle[0] = -0.282082	angle[1] = 0.849102	angle[2] = 0.805193

pos[0] = 51.386528	pos[1] = 141.314285	pos[2] = 43.688742
angle[0] = -0.282493	angle[1] = 0.849918	angle[2] = 0.807230

pos[0] = 51.416042	pos[1] = 141.582533	pos[2] = 43.790425
angle[0] = -0.282493	angle[1] = 0.850735	angle[2] = 0.809268

pos[0] = 51.518311	pos[1] = 141.851097	pos[2] = 43.870514
angle[0] = -0.282905	angle[1] = 0.851551	angle[2] = 0.811305

pos[0] = 51.547619	pos[1] = 142.119980	pos[2] = 43.971322
angle[0] = -0.282905	angle[1] = 0.852367	angle[2] = 0.813342

pos[0] = 51.649742	pos[1] = 142.389164	pos[2] = 44.050467
angle[0] = -0.283316	angle[1] = 0.853183	angle[2] = 0.815380

pos[0] = 51.751816	pos[1] = 142.658665	pos[2] = 44.129103
angle[0] = -0.283727	angle[1] = 0.853999	angle[2] = 0.817417

pos[0] = 51.780819	pos[1] = 142.928486	pos[2] = 44.228567
angle[0] = -0.283727	angle[1] = 0.854815	angle[2] = 0.819455

pos[0] = 51.871220	pos[1] = 143.234287	pos[2] = 44.266801
angle[0] = -0.284138	angle[1] = 0.856039	angle[2] = 0.821492

pos[0] = 51.899994	pos[1] = 143.504688	pos[2] = 44.365331
angle[0] = -0.284138	angle[1] = 0.856855	angle[2] = 0.823530

pos[0] = 51.991405	pos[1] = 143.735474	pos[2] = 44.406671
angle[0] = -0.284549	angle[1] = 0.857671	angle[2] = 0.825160

pos[0] = 52.019978	pos[1] = 144.006401	pos[2] = 44.504354
angle[0] = -0.284549	angle[1] = 0.858487	angle[2] = 0.827197

pos[0] = 52.121590	pos[1] = 144.277668	pos[2] = 44.580180
angle[0] = -0.284961	angle[1] = 0.859303	angle[2] = 0.829234

pos[0] = 52.223141	pos[1] = 144.549221	pos[2] = 44.655531
angle[0] = -0.285372	angle[1] = 0.860119	angle[2] = 0.831272

pos[0] = 52.251400	pos[1] = 144.821083	pos[2] = 44.751859
angle[0] = -0.285372	angle[1] = 0.860935	angle[2] = 0.833309

pos[0] = 52.341160	pos[1] = 145.128666	pos[2] = 44.786604
angle[0] = -0.285783	angle[1] = 0.862159	angle[2] = 0.835347

pos[0] = 52.369190	pos[1] = 145.401115	pos[2] = 44.881997
angle[0] = -0.285783	angle[1] = 0.862975	angle[2] = 0.837384

pos[0] = 52.470406	pos[1] = 145.673855	pos[2] = 44.955378
angle[0] = -0.286194	angle[1] = 0.863791	angle[2] = 0.839422

pos[0] = 52.571568	pos[1] = 145.946899	pos[2] = 45.028264
angle[0] = -0.286605	angle[1] = 0.864607	angle[2] = 0.841459

pos[0] = 52.672661	pos[1] = 146.220242	pos[2] = 45.100645
angle[0] = -0.287017	angle[1] = 0.865424	angle[2] = 0.843496

pos[0] = 52.690067	pos[1] = 146.453232	pos[2] = 45.159622
angle[0] = -0.287017	angle[1] = 0.866240	angle[2] = 0.845126

pos[0] = 52.801208	pos[1] = 146.767830	pos[2] = 45.265612
angle[0] = -0.287428	angle[1] = 0.867056	angle[2] = 0.847571

pos[0] = 52.828590	pos[1] = 147.042072	pos[2] = 45.358237
angle[0] = -0.287428	angle[1] = 0.867872	angle[2] = 0.849609

pos[0] = 52.919201	pos[1] = 147.275749	pos[2] = 45.394349
angle[0] = -0.287839	angle[1] = 0.868688	angle[2] = 0.851239

pos[0] = 53.019909	pos[1] = 147.550514	pos[2] = 45.464359
angle[0] = -0.288250	angle[1] = 0.869504	angle[2] = 0.853276

pos[0] = 53.108711	pos[1] = 147.860634	pos[2] = 45.493986
angle[0] = -0.288661	angle[1] = 0.870728	angle[2] = 0.855313

pos[0] = 53.135685	pos[1] = 148.135967	pos[2] = 45.584823
angle[0] = -0.288661	angle[1] = 0.871544	angle[2] = 0.857351

pos[0] = 53.226021	pos[1] = 148.370434	pos[2] = 45.619327
angle[0] = -0.289073	angle[1] = 0.872360	angle[2] = 0.858981

pos[0] = 53.326412	pos[1] = 148.646271	pos[2] = 45.687405
angle[0] = -0.289484	angle[1] = 0.873176	angle[2] = 0.861018

pos[0] = 53.353077	pos[1] = 148.922394	pos[2] = 45.776933
angle[0] = -0.289484	angle[1] = 0.873992	angle[2] = 0.863056

pos[0] = 53.431274	pos[1] = 149.192348	pos[2] = 45.770230
angle[0] = -0.289895	angle[1] = 0.875216	angle[2] = 0.864686

pos[0] = 53.531414	pos[1] = 149.468960	pos[2] = 45.836901
angle[0] = -0.290306	angle[1] = 0.876032	angle[2] = 0.866723

pos[0] = 53.631474	pos[1] = 149.745861	pos[2] = 45.903052
angle[0] = -0.290717	angle[1] = 0.876848	angle[2] = 0.868761

pos[0] = 53.657719	pos[1] = 150.023048	pos[2] = 45.990763
angle[0] = -0.290717	angle[1] = 0.877664	angle[2] = 0.870798

pos[0] = 53.747574	pos[1] = 150.258907	pos[2] = 46.022474
angle[0] = -0.291129	angle[1] = 0.878480	angle[2] = 0.872428

pos[0] = 53.835346	pos[1] = 150.571274	pos[2] = 46.047067
angle[0] = -0.291540	angle[1] = 0.879704	angle[2] = 0.874465

pos[0] = 53.935059	pos[1] = 150.849216	pos[2] = 46.111264
angle[0] = -0.291951	angle[1] = 0.880520	angle[2] = 0.876503

pos[0] = 54.034698	pos[1] = 151.127445	pos[2] = 46.174955
angle[0] = -0.292362	angle[1] = 0.881337	angle[2] = 0.878540

pos[0] = 54.058273	pos[1] = 151.482441	pos[2] = 46.253272
angle[0] = -0.292362	angle[1] = 0.882561	angle[2] = 0.880985

pos[0] = 54.157696	pos[1] = 151.761284	pos[2] = 46.315865
angle[0] = -0.292773	angle[1] = 0.883377	angle[2] = 0.883023

pos[0] = 54.257034	pos[1] = 152.040394	pos[2] = 46.377940
angle[0] = -0.293185	angle[1] = 0.884193	angle[2] = 0.885060

pos[0] = 54.356300	pos[1] = 152.319801	pos[2] = 46.439509
angle[0] = -0.293596	angle[1] = 0.885009	angle[2] = 0.887097

pos[0] = 54.369328	pos[1] = 152.633892	pos[2] = 46.482596
angle[0] = -0.293596	angle[1] = 0.886233	angle[2] = 0.889135

pos[0] = 54.468369	pos[1] = 152.913822	pos[2] = 46.543149
angle[0] = -0.294007	angle[1] = 0.887049	angle[2] = 0.891172

pos[0] = 54.567337	pos[1] = 153.194023	pos[2] = 46.603180
angle[0] = -0.294418	angle[1] = 0.887865	angle[2] = 0.893210

pos[0] = 54.653946	pos[1] = 153.508808	pos[2] = 46.622280
angle[0] = -0.294829	angle[1] = 0.889089	angle[2] = 0.895247

pos[0] = 54.678688	pos[1] = 153.789524	pos[2] = 46.703765
angle[0] = -0.294829	angle[1] = 0.889905	angle[2] = 0.897285

pos[0] = 54.777359	pos[1] = 154.070526	pos[2] = 46.762259
angle[0] = -0.295241	angle[1] = 0.890721	angle[2] = 0.899322

pos[0] = 54.875946	pos[1] = 154.351818	pos[2] = 46.820249
angle[0] = -0.295652	angle[1] = 0.891537	angle[2] = 0.901359

pos[0] = 54.974438	pos[1] = 154.633362	pos[2] = 46.877707
angle[0] = -0.296063	angle[1] = 0.892353	angle[2] = 0.903397

pos[0] = 54.986340	pos[1] = 154.949299	pos[2] = 46.916735
angle[0] = -0.296063	angle[1] = 0.893577	angle[2] = 0.905434

pos[0] = 55.084618	pos[1] = 155.231358	pos[2] = 46.973173
angle[0] = -0.296474	angle[1] = 0.894393	angle[2] = 0.907472

pos[0] = 55.182800	pos[1] = 155.513699	pos[2] = 47.029097
angle[0] = -0.296885	angle[1] = 0.895209	angle[2] = 0.909509

pos[0] = 55.280903	pos[1] = 155.796307	pos[2] = 47.084501
angle[0] = -0.297297	angle[1] = 0.896026	angle[2] = 0.911547

pos[0] = 55.314407	pos[1] = 156.122192	pos[2] = 47.193864
angle[0] = -0.297297	angle[1] = 0.896842	angle[2] = 0.913991

pos[0] = 55.399807	pos[1] = 156.439323	pos[2] = 47.207500
angle[0] = -0.297708	angle[1] = 0.898066	angle[2] = 0.916029

pos[0] = 55.497574	pos[1] = 156.722767	pos[2] = 47.261265
angle[0] = -0.298119	angle[1] = 0.898882	angle[2] = 0.918066

pos[0] = 55.595253	pos[1] = 157.006489	pos[2] = 47.314512
angle[0] = -0.298530	angle[1] = 0.899698	angle[2] = 0.920104

pos[0] = 55.628170	pos[1] = 157.333767	pos[2] = 47.421485
angle[0] = -0.298530	angle[1] = 0.900514	angle[2] = 0.922549

pos[0] = 55.725620	pos[1] = 157.618076	pos[2] = 47.473636
angle[0] = -0.298941	angle[1] = 0.901330	angle[2] = 0.924586

pos[0] = 55.820011	pos[1] = 157.979832	pos[2] = 47.515631
angle[0] = -0.299353	angle[1] = 0.902554	angle[2] = 0.927031

pos[0] = 55.833244	pos[1] = 158.221184	pos[2] = 47.558511
angle[0] = -0.299353	angle[1] = 0.903370	angle[2] = 0.928661

pos[0] = 55.930363	pos[1] = 158.506233	pos[2] = 47.609100
angle[0] = -0.299764	angle[1] = 0.904186	angle[2] = 0.930698

pos[0] = 56.036961	pos[1] = 158.835213	pos[2] = 47.690075
angle[0] = -0.300175	angle[1] = 0.905002	angle[2] = 0.933143

pos[0] = 56.111641	pos[1] = 159.110714	pos[2] = 47.667789
angle[0] = -0.300586	angle[1] = 0.906226	angle[2] = 0.934773

pos[0] = 56.133991	pos[1] = 159.396519	pos[2] = 47.739889
angle[0] = -0.300586	angle[1] = 0.907042	angle[2] = 0.936811

pos[0] = 56.230671	pos[1] = 159.682579	pos[2] = 47.788388
angle[0] = -0.300997	angle[1] = 0.907858	angle[2] = 0.938848

pos[0] = 56.327259	pos[1] = 159.968899	pos[2] = 47.836356
angle[0] = -0.301409	angle[1] = 0.908674	angle[2] = 0.940886

pos[0] = 56.423744	pos[1] = 160.255482	pos[2] = 47.883811
angle[0] = -0.301820	angle[1] = 0.909490	angle[2] = 0.942923

pos[0] = 56.432812	pos[1] = 160.575695	pos[2] = 47.912934
angle[0] = -0.301820	angle[1] = 0.910714	angle[2] = 0.944960

pos[0] = 56.529049	pos[1] = 160.862747	pos[2] = 47.959331
angle[0] = -0.302231	angle[1] = 0.911530	angle[2] = 0.946998

pos[0] = 56.625183	pos[1] = 161.150036	pos[2] = 48.005213
angle[0] = -0.302642	angle[1] = 0.912347	angle[2] = 0.949035

pos[0] = 56.721214	pos[1] = 161.437599	pos[2] = 48.050566
angle[0] = -0.303053	angle[1] = 0.913163	angle[2] = 0.951073

pos[0] = 56.807743	pos[1] = 161.681118	pos[2] = 48.065349
angle[0] = -0.303465	angle[1] = 0.913979	angle[2] = 0.952703

pos[0] = 56.816078	pos[1] = 162.002293	pos[2] = 48.091967
angle[0] = -0.303465	angle[1] = 0.915203	angle[2] = 0.954740

pos[0] = 56.911770	pos[1] = 162.290504	pos[2] = 48.135841
angle[0] = -0.303876	angle[1] = 0.916019	angle[2] = 0.956778

pos[0] = 57.007355	pos[1] = 162.578953	pos[2] = 48.179171
angle[0] = -0.304287	angle[1] = 0.916835	angle[2] = 0.958815

pos[0] = 57.028164	pos[1] = 162.867676	pos[2] = 48.245438
angle[0] = -0.304287	angle[1] = 0.917651	angle[2] = 0.960852

pos[0] = 57.123516	pos[1] = 163.156620	pos[2] = 48.287751
angle[0] = -0.304698	angle[1] = 0.918467	angle[2] = 0.962890

pos[0] = 57.205765	pos[1] = 163.478802	pos[2] = 48.288260
angle[0] = -0.305109	angle[1] = 0.919691	angle[2] = 0.964927

pos[0] = 57.300869	pos[1] = 163.768208	pos[2] = 48.329480
angle[0] = -0.305520	angle[1] = 0.920507	angle[2] = 0.966965

pos[0] = 57.321144	pos[1] = 164.057865	pos[2] = 48.393757
angle[0] = -0.305520	angle[1] = 0.921323	angle[2] = 0.969002

pos[0] = 57.416023	pos[1] = 164.347748	pos[2] = 48.433959
angle[0] = -0.305932	angle[1] = 0.922139	angle[2] = 0.971040

pos[0] = 57.497704	pos[1] = 164.670712	pos[2] = 48.432258
angle[0] = -0.306343	angle[1] = 0.923363	angle[2] = 0.973077

pos[0] = 57.592319	pos[1] = 164.961052	pos[2] = 48.471354
angle[0] = -0.306754	angle[1] = 0.924179	angle[2] = 0.975114

pos[0] = 57.602867	pos[1] = 165.206600	pos[2] = 48.504651
angle[0] = -0.306754	angle[1] = 0.924995	angle[2] = 0.976744

pos[0] = 57.697269	pos[1] = 165.497364	pos[2] = 48.542821
angle[0] = -0.307165	angle[1] = 0.925811	angle[2] = 0.978782

pos[0] = 57.778381	pos[1] = 165.821018	pos[2] = 48.538991
angle[0] = -0.307576	angle[1] = 0.927036	angle[2] = 0.980819

pos[0] = 57.872528	pos[1] = 166.112209	pos[2] = 48.576069
angle[0] = -0.307988	angle[1] = 0.927852	angle[2] = 0.982857

pos[0] = 57.966560	pos[1] = 166.403645	pos[2] = 48.612607
angle[0] = -0.308399	angle[1] = 0.928668	angle[2] = 0.984894

pos[0] = 57.963299	pos[1] = 166.682533	pos[2] = 48.602371
angle[0] = -0.308399	angle[1] = 0.929892	angle[2] = 0.986524

pos[0] = 58.057068	pos[1] = 166.974331	pos[2] = 48.637950
angle[0] = -0.308810	angle[1] = 0.930708	angle[2] = 0.988561

pos[0] = 58.150730	pos[1] = 167.266365	pos[2] = 48.673000
angle[0] = -0.309221	angle[1] = 0.931524	angle[2] = 0.990599

pos[0] = 58.244259	pos[1] = 167.558632	pos[2] = 48.707498
angle[0] = -0.309632	angle[1] = 0.932340	angle[2] = 0.992636

pos[0] = 58.324341	pos[1] = 167.883518	pos[2] = 48.699836
angle[0] = -0.310044	angle[1] = 0.933564	angle[2] = 0.994674

pos[0] = 58.333729	pos[1] = 168.130589	pos[2] = 48.729131
angle[0] = -0.310044	angle[1] = 0.934380	angle[2] = 0.996304

pos[0] = 58.426876	pos[1] = 168.423458	pos[2] = 48.762128
angle[0] = -0.310455	angle[1] = 0.935196	angle[2] = 0.998341

pos[0] = 58.506504	pos[1] = 168.748798	pos[2] = 48.752861
angle[0] = -0.310866	angle[1] = 0.936420	angle[2] = 1.000378

pos[0] = 58.599400	pos[1] = 169.042091	pos[2] = 48.784783
angle[0] = -0.311277	angle[1] = 0.937236	angle[2] = 1.002416

pos[0] = 58.608318	pos[1] = 169.289757	pos[2] = 48.812498
angle[0] = -0.311277	angle[1] = 0.938052	angle[2] = 1.004046

pos[0] = 58.700947	pos[1] = 169.583431	pos[2] = 48.843444
angle[0] = -0.311688	angle[1] = 0.938868	angle[2] = 1.006083

pos[0] = 58.779976	pos[1] = 169.909431	pos[2] = 48.832040
angle[0] = -0.312100	angle[1] = 0.940092	angle[2] = 1.008121

pos[0] = 58.872341	pos[1] = 170.203510	pos[2] = 48.861898
angle[0] = -0.312511	angle[1] = 0.940908	angle[2] = 1.010158

pos[0] = 58.889645	pos[1] = 170.497841	pos[2] = 48.915446
angle[0] = -0.312511	angle[1] = 0.941724	angle[2] = 1.012196

pos[0] = 58.968197	pos[1] = 170.824333	pos[2] = 48.902365
angle[0] = -0.312922	angle[1] = 0.942949	angle[2] = 1.014233

pos[0] = 59.051319	pos[1] = 171.072868	pos[2] = 48.903375
angle[0] = -0.313333	angle[1] = 0.943765	angle[2] = 1.015863

pos[0] = 59.143166	pos[1] = 171.367748	pos[2] = 48.931182
angle[0] = -0.313744	angle[1] = 0.944581	angle[2] = 1.017900

pos[0] = 59.221241	pos[1] = 171.694687	pos[2] = 48.916468
angle[0] = -0.314156	angle[1] = 0.945805	angle[2] = 1.019938

pos[0] = 59.304024	pos[1] = 171.943619	pos[2] = 48.916203
angle[0] = -0.314567	angle[1] = 0.946621	angle[2] = 1.021568

pos[0] = 59.395470	pos[1] = 172.239056	pos[2] = 48.942449
angle[0] = -0.314978	angle[1] = 0.947437	angle[2] = 1.023605

pos[0] = 59.403076	pos[1] = 172.488243	pos[2] = 48.965792
angle[0] = -0.314978	angle[1] = 0.948253	angle[2] = 1.025235

pos[0] = 59.480545	pos[1] = 172.815750	pos[2] = 48.949039
angle[0] = -0.315389	angle[1] = 0.949477	angle[2] = 1.027273

pos[0] = 59.562881	pos[1] = 173.065182	pos[2] = 48.947147
angle[0] = -0.315800	angle[1] = 0.950293	angle[2] = 1.028903

pos[0] = 59.653797	pos[1] = 173.361328	pos[2] = 48.971411
angle[0] = -0.316212	angle[1] = 0.951109	angle[2] = 1.030940

pos[0] = 59.722111	pos[1] = 173.642578	pos[2] = 48.926566
angle[0] = -0.316623	angle[1] = 0.952333	angle[2] = 1.032570

pos[0] = 59.737782	pos[1] = 173.939049	pos[2] = 48.974402
angle[0] = -0.316623	angle[1] = 0.953149	angle[2] = 1.034607

pos[0] = 59.819660	pos[1] = 174.188980	pos[2] = 48.970874
angle[0] = -0.317034	angle[1] = 0.953965	angle[2] = 1.036237

pos[0] = 59.910034	pos[1] = 174.485817	pos[2] = 48.993172
angle[0] = -0.317445	angle[1] = 0.954781	angle[2] = 1.038275

pos[0] = 59.991688	pos[1] = 174.736008	pos[2] = 48.988812
angle[0] = -0.317856	angle[1] = 0.955597	angle[2] = 1.039905

pos[0] = 60.067894	pos[1] = 175.064560	pos[2] = 48.967883
angle[0] = -0.318268	angle[1] = 0.956821	angle[2] = 1.041942

pos[0] = 60.082870	pos[1] = 175.361938	pos[2] = 49.013347
angle[0] = -0.318268	angle[1] = 0.957637	angle[2] = 1.043980

pos[0] = 60.172688	pos[1] = 175.659515	pos[2] = 49.033574
angle[0] = -0.318679	angle[1] = 0.958453	angle[2] = 1.046017
